Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2070226,2072490,2074502,2076217,2076694,2072531,2065092,2057679,2051957
Somalia,SOM,"Population, total",SP.POP.TOTL,13763906,14292847,14864221,15411094,15981300,16537016,17065581,17597511,18143378
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,,,,,
Last Updated: 07/05/2023,,,,,,,,,,,,
